Applicant_ID,Age,Income,Credit_Score,Employment_Years,Loan_Amount,Existing_Loans,Loan_Term,Loan_Approved
111,57,58258,581,6,325049,0,12,0
112,34,68302,300,2,696047,0,24,0
113,23,145937,418,19,467567,3,60,1
114,21,48865,334,5,343125,0,24,0
115,25,26645,497,20,910335,5,48,0
116,46,139771,784,1,907253,0,24,1
117,34,58000,358,5,421344,3,12,0
118,59,46737,460,2,132289,2,12,0
119,47,31485,505,15,690794,2,60,0
120,29,58565,311,7,652801,1,36,0
121,35,45522,789,1,463090,0,48,0
122,35,139614,575,16,756291,3,48,1
123,46,85155,541,8,450890,0,36,0
124,33,75168,515,11,362660,4,12,0
125,52,72487,550,2,309480,5,12,0
126,59,149948,425,10,836331,0,24,0
127,52,32342,516,0,766046,0,60,0
128,24,60806,605,12,538067,2,60,0
129,50,68770,484,14,381356,5,60,0
130,57,98623,338,4,183498,3,24,0
131,43,123177,522,20,304024,0,60,1
132,59,119785,483,16,705258,2,36,0
133,35,95629,794,5,140009,1,24,1
134,49,140993,726,20,773858,5,36,1
135,56,72603,477,10,473159,2,24,0
136,33,146944,727,17,771755,2,60,1
137,52,132726,593,3,94816,2,36,1
138,27,101974,450,2,54138,0,36,1
139,42,125947,683,12,141176,0,36,1
140,48,46399,607,8,388089,1,24,1
141,22,148177,635,20,840449,4,48,1
142,26,105382,674,5,846883,4,60,0
143,48,101244,307,11,768316,4,36,0
144,48,129575,640,1,406007,5,48,0
145,40,135520,428,2,846710,5,60,0
146,50,130904,651,2,271552,1,60,1
147,31,96534,657,11,93764,5,36,1
148,48,75106,816,14,173030,4,36,1
149,45,132599,794,8,968638,4,24,1
150,59,50678,385,7,899375,2,48,0
151,53,96218,474,10,669955,5,48,0
152,21,83230,492,15,366462,0,36,1
153,47,134684,610,3,939855,0,60,0
154,33,94055,418,0,416142,2,36,0
155,23,76373,517,6,110128,2,60,0
156,59,51480,726,1,269128,2,60,0
157,26,105230,713,4,858301,0,36,1
158,28,88836,413,6,283540,4,12,0
159,47,92258,444,3,55039,2,48,0
160,29,59986,837,4,202353,1,60,0
161,57,44160,602,0,162935,2,60,0
162,53,105595,644,0,584730,3,12,1
163,44,121358,300,14,910220,2,24,0
164,35,99111,446,19,956161,0,12,0
165,52,84929,586,18,339730,5,12,1
166,52,93506,352,9,103053,2,60,0
167,44,54911,603,17,231561,5,48,1
168,32,107127,368,2,788464,3,12,0
169,59,51821,660,10,136346,1,24,1
170,22,95039,519,14,379231,5,36,0
171,23,80535,460,10,455841,4,12,0
172,57,133453,388,16,608685,2,12,0
173,37,104458,458,16,370815,3,24,0
174,22,32175,788,5,166214,3,48,0
175,22,139235,623,4,535001,5,12,1
176,48,74771,680,7,903329,1,12,0
177,43,126660,401,1,731509,0,48,0
178,57,147157,793,15,448499,2,24,1
179,52,141300,318,19,450826,3,12,0
180,53,106925,753,11,486542,1,48,1
181,21,133374,781,5,327068,4,12,1
182,39,86358,696,0,687431,3,36,0
183,22,37327,578,3,422397,1,60,0
184,46,67057,664,16,412441,0,36,0
185,52,26150,630,12,837301,0,12,0
186,26,24425,643,17,933520,3,24,0
187,52,143654,754,4,837446,3,60,1
188,24,36032,364,2,584391,5,36,0
189,31,22198,375,10,525738,2,48,0
190,37,80500,442,12,946749,1,24,0
191,58,73394,772,3,476674,3,36,1
192,44,40079,716,13,132409,2,48,1
193,25,56220,604,10,73248,5,12,0
194,54,61874,796,9,532376,2,48,1
195,26,33859,590,18,748876,3,36,0
196,42,70460,401,17,996565,0,36,0
197,31,51419,566,5,729530,1,12,0
198,36,138865,302,14,58024,1,48,0
199,53,28705,384,20,525430,0,48,0
200,29,62880,627,9,284864,3,12,0
201,26,149838,749,4,922379,1,48,1
202,36,43236,753,4,224875,3,12,0
203,49,107955,520,9,986800,5,24,0
204,23,105514,453,4,403973,3,36,0
205,40,123145,311,2,929140,2,24,0
206,56,35358,432,5,923096,0,60,0
207,39,119713,603,3,461473,3,60,0
208,46,114914,592,17,193927,5,60,0
209,23,122870,599,8,135178,4,12,0
210,39,96918,342,16,937553,0,48,0
211,40,139179,642,12,566540,1,24,1
212,52,136243,625,14,856457,2,24,1
213,27,34596,797,19,447674,1,24,1
214,53,53572,663,16,113610,5,24,0
215,60,98757,726,12,645131,5,60,1
216,59,21279,320,15,681525,1,24,0
217,38,83197,706,3,527177,0,48,1
218,60,131496,635,4,755191,1,60,1
219,21,82516,416,4,748787,3,24,0
220,31,27083,423,8,537025,1,12,0
221,48,140674,698,16,704587,2,36,1
222,45,140307,350,12,481722,2,36,0
223,43,146457,623,1,55668,4,36,1
224,51,129397,440,12,272542,2,60,1
225,50,37771,769,20,228267,1,24,1
226,55,49975,633,18,909665,2,60,1
227,27,65648,672,2,205489,0,48,1
228,36,145641,793,9,394126,2,12,1
229,46,68285,838,1,680421,3,12,0
230,22,39063,455,12,847183,0,36,0
231,21,87642,590,18,358362,4,36,0
232,32,110093,443,16,963081,3,36,0
233,25,134390,405,20,843784,1,24,0
234,57,106143,719,13,784412,1,48,1
235,52,57599,301,11,138835,1,48,0
236,29,71920,389,20,671781,3,48,0
237,55,48529,644,11,865359,3,48,0
238,39,55954,649,10,746454,3,36,0
239,36,47856,758,6,151948,0,12,1
240,23,22573,562,3,235194,5,36,0
241,40,98344,650,18,603781,0,48,1
242,44,55367,407,0,516755,1,36,0
243,53,122337,338,2,343851,5,48,0
244,44,126732,458,12,774174,2,60,0
245,31,119608,611,14,188368,1,12,1
246,28,80774,540,1,206470,4,60,0
247,56,43752,744,10,347986,0,24,1
248,58,75029,597,3,63261,3,36,0
249,60,37685,335,18,126709,0,24,0
250,40,71693,383,16,670273,3,36,0
251,55,136739,751,2,418760,5,60,1
252,45,75961,684,17,903605,4,48,0
253,55,126937,471,7,343925,5,48,0
254,45,144956,675,18,325796,4,36,1
255,49,96908,661,4,317247,0,48,1
256,38,145537,440,6,337644,3,60,0
257,38,146678,417,20,820692,5,48,0
258,22,94532,576,7,674624,4,60,0
259,55,101994,519,4,478745,1,24,0
260,36,76133,325,16,687787,1,60,0
261,56,117425,820,4,723812,5,12,1
262,53,145055,309,3,885825,3,12,0
263,24,81268,677,18,474390,5,12,0
264,53,112201,451,20,507666,0,36,1
265,34,58243,348,1,740796,4,36,0
266,41,77384,453,10,359550,0,36,1
267,40,51653,592,12,375203,1,60,1
268,28,46657,349,14,721314,4,36,0
269,27,59952,830,11,394866,5,24,1
270,23,42180,359,20,825107,0,12,0
271,37,117432,466,10,586644,2,60,0
272,53,141829,501,6,702416,3,12,0
273,32,148377,445,4,52187,3,36,0
274,42,98411,738,16,913675,2,60,1
275,42,21622,541,19,871530,1,48,0
276,50,68756,782,8,535687,4,24,0
277,58,60809,407,13,726585,3,36,0
278,58,36725,525,11,708966,2,36,0
279,28,81396,731,5,894052,5,24,0
280,47,71226,718,16,476044,2,24,1
281,47,126296,754,18,176270,1,48,1
282,54,101182,459,18,993993,1,36,0
283,41,102565,822,15,850819,0,36,1
284,50,49402,376,11,381607,3,12,0
285,53,24263,808,11,817286,0,60,1
286,48,143489,740,19,970095,2,60,1
287,53,116523,553,5,815791,4,12,0
288,25,66828,619,3,403827,4,60,0
289,39,140824,562,5,636349,1,24,0
290,24,67924,673,10,809785,4,60,0
291,55,94182,466,0,131257,4,60,0
292,37,113065,758,14,111753,4,12,1
293,48,79052,579,10,921206,2,48,0
294,50,31664,601,18,454303,4,60,0
295,49,55737,830,17,474032,5,60,1
296,26,121332,517,16,73408,4,48,1
297,55,109563,401,18,174116,4,12,0
298,57,49373,587,20,705496,0,48,0
299,44,137369,466,13,67413,2,12,1
300,49,56397,335,17,687938,1,24,0
301,51,148575,652,18,109500,0,12,1
302,55,106145,372,14,920946,3,24,0
303,53,121371,652,14,106358,2,24,1
304,41,58709,369,3,116197,5,12,0
305,52,136074,724,6,543992,2,36,1
306,43,81120,816,12,798149,3,12,1
307,53,39250,727,2,273492,3,60,0
308,23,41172,838,15,835833,3,60,0
309,38,31555,459,8,476070,1,36,0
310,45,107410,448,7,126240,4,24,0
311,51,98617,529,19,285595,2,36,0
312,23,73276,366,12,572710,4,60,0
313,60,77492,680,16,795423,4,36,0
314,44,73002,357,16,328466,5,12,0
315,52,140103,558,16,949485,3,36,0
316,42,144938,641,0,56968,1,24,1
317,43,109599,429,7,339662,5,12,0
318,22,92355,471,18,888357,0,48,0
319,47,111248,508,5,240920,1,60,0
320,22,44762,653,2,948332,4,60,0
321,46,31046,770,4,929854,1,36,0
322,37,116999,415,12,313844,3,12,1
323,60,144130,563,14,930214,0,48,1
324,53,136021,741,13,282076,3,12,1
325,29,48769,847,15,73199,0,60,1
326,59,73302,752,17,487805,5,12,0
327,49,43150,776,10,213187,4,48,1
328,46,88247,586,2,505150,0,36,0
329,55,24853,602,9,559551,0,24,1
330,45,114613,610,9,563942,0,12,1
331,44,140900,507,20,759676,1,24,1
332,33,109399,745,15,55520,5,60,1
333,27,41792,354,11,684102,1,36,0
334,56,79129,311,1,217527,4,36,0
335,40,126019,699,8,820644,0,12,1
336,21,94478,814,2,697652,5,36,0
337,28,133811,841,14,589243,5,12,1
338,36,134130,536,2,225121,2,12,0
339,34,87298,578,18,719277,4,24,0
340,32,51987,647,17,521797,5,36,0
341,43,35850,403,7,300144,0,12,0
342,35,32112,816,16,114925,0,24,1
343,48,141789,547,7,419360,5,48,0
344,54,44058,663,6,644557,1,24,0
345,22,65420,620,6,998458,4,24,0
346,52,58890,585,2,353602,0,12,0
347,43,86017,448,0,401181,5,60,0
348,42,67304,383,3,726473,0,60,0
349,45,52921,705,4,149977,5,60,0
350,42,125921,755,0,555838,4,24,1
351,42,21524,460,14,569163,5,12,0
352,26,120424,759,4,533442,2,36,1
353,35,35048,849,12,880371,5,24,0
354,57,55111,799,7,79345,5,24,0
355,53,57904,808,7,829976,4,12,0
356,28,74912,780,4,422251,5,48,1
357,25,54008,413,8,958298,4,24,0
358,59,20060,660,0,836086,2,48,0
359,24,94666,640,3,543814,4,48,0
360,26,103559,748,2,381310,0,60,1
361,52,75337,479,1,753221,4,12,0
362,50,130616,706,7,147406,2,48,1
363,55,33350,495,8,361442,3,12,0
364,60,44354,765,1,357086,5,60,0
365,36,65186,610,13,577741,4,12,0
366,33,48145,561,13,677099,5,24,1
367,50,54020,718,3,629223,1,48,1
368,39,106123,705,5,434583,0,12,1
369,37,126667,442,10,748730,0,36,0
370,39,95186,641,2,844760,1,12,0
371,48,105469,615,7,65534,1,48,0
372,46,40581,400,2,921712,4,60,0
373,57,108929,543,13,610608,1,60,1
374,46,43051,789,12,623458,3,48,1
375,43,71474,311,12,150546,5,24,0
376,29,111748,538,1,654489,5,24,0
377,32,145995,341,12,808761,2,60,0
378,21,134618,728,18,320784,1,60,1
379,21,89626,457,5,281324,1,48,0
380,54,26960,515,15,534273,3,24,0
381,52,55772,761,1,735409,0,60,0
382,45,41520,433,7,448834,0,24,0
383,60,69481,366,16,283612,5,60,1
384,21,56408,306,1,761413,5,12,0
385,36,114006,825,9,969424,4,36,1
386,59,148496,372,15,356081,3,12,0
387,25,77134,698,5,775084,2,60,1
388,42,40491,704,1,193279,2,36,0
389,49,21341,429,1,246846,3,36,0
390,23,64623,765,12,738332,2,60,1
391,32,110327,505,14,454015,0,60,0
392,46,20338,565,1,776448,2,24,0
393,36,91431,836,6,472132,2,60,1
394,57,32254,552,2,120463,3,48,0
395,42,71860,588,7,143500,3,60,0
396,49,31344,463,13,257772,2,48,0
397,34,21750,394,6,611446,1,60,0
398,48,74756,409,20,134607,3,24,0
399,25,87957,635,6,956071,4,48,0
400,50,125423,537,0,819305,4,12,0
401,25,78053,680,16,383840,0,48,1
402,32,90855,735,8,897942,2,24,1
403,36,35896,782,20,170076,1,48,1
404,46,75761,324,12,108692,0,60,0
405,46,82552,416,20,705129,2,60,0
406,41,140075,781,18,767104,3,24,1
407,59,97454,691,20,852242,4,36,1
408,56,146522,836,18,972630,5,60,1
409,53,138681,378,16,211081,1,12,0
410,50,110600,472,9,161718,5,24,0
411,57,142732,311,9,403076,4,48,0
412,43,132153,427,3,574480,5,48,0
413,30,142926,391,7,297536,3,12,0
414,25,47935,842,19,86413,2,60,1
415,56,57641,831,19,193888,3,24,1
416,54,49711,746,17,613370,5,12,0
417,51,90342,689,13,901480,3,60,1
418,30,126896,342,17,697418,4,24,0
419,39,32182,553,13,625228,1,48,0
420,52,107833,429,19,737490,3,24,0
421,21,76276,359,20,614430,4,36,0
422,25,39541,766,14,572780,1,24,1
423,24,114457,586,3,86468,2,36,1
424,36,102310,816,12,998202,5,24,1
425,44,64813,766,7,716015,2,36,0
426,36,57198,644,17,228969,0,48,1
427,22,28820,681,11,473291,4,60,0
428,48,44070,552,13,976863,1,36,0
429,52,89768,355,1,965480,3,36,0
430,47,31122,762,17,545413,2,48,0
431,40,100559,756,1,286187,1,36,0
432,44,93543,382,10,92056,4,12,0
433,32,103441,398,8,101831,0,48,0
434,55,61786,448,11,895623,2,12,0
435,53,114934,628,16,823952,5,48,1
436,53,119804,455,14,958380,1,36,1
437,57,26737,489,16,476488,5,12,0
438,32,56062,793,17,682405,1,36,1
439,23,74237,562,5,326815,1,48,1
440,21,71571,379,16,339192,4,36,0
441,53,45510,699,17,862395,4,12,1
442,60,39426,559,7,618242,4,12,0
443,30,57265,400,8,515525,3,36,0
444,49,37850,658,5,283192,1,24,0
445,33,138249,679,4,407574,2,48,1
446,32,86150,520,11,575005,5,48,0
447,51,107312,719,10,323820,4,36,1
448,22,109613,423,0,447650,4,24,0
449,55,94910,721,10,230882,5,12,1
450,43,72375,530,18,168696,5,60,0
451,37,141826,362,8,967262,1,60,0
452,46,55435,784,1,54994,4,36,0
453,28,116443,782,11,840666,5,24,1
454,49,77132,818,3,119300,3,24,1
455,46,98945,454,3,356093,3,48,0
456,30,102050,391,17,611693,4,12,0
457,46,149828,825,14,347016,5,24,1
458,54,115402,754,18,354359,1,60,1
459,27,22983,809,12,597473,1,12,1
460,24,117241,482,18,748802,1,12,1
461,31,40662,685,16,566479,0,36,1
462,49,43510,704,5,494975,4,24,0
463,56,98187,545,15,877585,1,36,1
464,45,60998,770,11,389679,3,24,0
465,41,76846,722,18,707941,5,48,0
466,56,114071,364,4,101717,2,36,0
467,30,26640,312,16,52763,2,36,0
468,57,64547,512,0,405054,1,60,0
469,29,74620,541,9,105480,2,36,1
470,44,35317,792,14,744119,2,24,0
471,55,135608,512,20,257139,0,60,1
472,55,27564,637,20,168094,3,36,0
473,56,47345,472,10,730667,3,36,0
474,38,133824,463,12,801731,0,48,0
475,59,114223,764,4,585352,0,36,1
476,52,143372,796,0,126848,2,12,1
477,44,99273,694,11,611836,4,60,1
478,43,94859,607,10,218017,5,12,0
479,52,100765,482,16,842908,5,60,0
480,57,130017,809,3,494972,2,48,1
481,32,94038,845,14,926533,5,36,1
482,33,143618,526,8,576670,0,36,1
483,43,72393,735,20,492899,3,36,1
484,45,86081,721,19,531215,5,60,0
485,55,145341,320,18,750636,2,36,0
486,50,122650,696,18,535097,4,12,1
487,37,49430,404,11,553516,2,36,0
488,40,95532,491,4,470162,1,48,0
489,45,47788,316,9,653986,2,12,0
490,42,115505,419,16,820050,0,36,0
491,33,68543,692,4,817669,3,36,0
492,39,33919,724,15,989839,3,24,1
493,56,89346,428,6,95095,5,60,0
494,32,116122,429,8,523146,0,12,1
495,39,59974,328,2,442118,1,24,0
496,32,127309,396,14,863629,0,48,0
497,29,36371,309,15,964051,2,60,0
498,27,65084,541,17,596298,0,12,1
499,48,49629,531,13,467339,0,36,0
500,34,71184,583,2,400067,1,12,0
501,51,81916,499,11,708250,2,36,1
502,39,147293,378,8,442670,4,60,0
503,36,93972,472,6,159162,4,36,0
504,25,82187,766,8,433071,3,48,0
505,55,32984,715,12,320170,5,36,0
506,32,53039,748,17,377069,0,48,1
507,45,105431,386,4,643130,3,60,0
508,41,103691,400,12,345809,1,60,1
509,56,78606,307,3,321421,4,12,0
510,43,30616,499,1,223311,0,48,1
511,36,122665,804,15,490880,1,48,1
512,59,125373,386,8,884440,5,24,0
513,59,70072,342,8,851115,1,24,0
514,34,44574,684,5,706030,0,24,0
515,51,23430,734,10,270283,5,36,0
516,25,139123,707,0,723249,1,24,1
517,55,32676,782,3,498828,5,48,0
518,43,30816,316,12,749895,0,36,0
519,49,52733,447,12,390686,0,60,0
520,31,105680,576,12,366463,5,12,0
521,38,22050,531,1,295144,2,24,0
522,32,129996,665,8,928499,3,60,0
523,29,53933,527,7,726999,1,48,0
524,30,44951,735,6,245784,1,12,0
525,37,52413,698,3,984137,2,60,0
526,58,54801,510,17,826505,2,12,0
527,27,75619,690,2,381119,2,24,0
528,33,52913,798,5,213244,4,48,0
529,60,132573,839,11,502413,4,12,1
530,29,139076,790,11,151158,5,60,1
531,47,60600,741,20,848009,4,24,1
532,22,77775,560,7,913731,0,24,0
533,25,110816,649,0,856608,5,60,0
534,49,149972,651,3,113972,1,60,1
535,57,110093,819,20,956450,3,12,1
536,58,132590,619,10,533007,0,36,1
537,39,55400,437,2,484219,1,24,0
538,28,24494,849,12,332140,1,12,1
539,21,100688,667,16,675210,5,60,0
540,42,142744,519,9,923030,2,12,0
541,37,109431,636,20,610219,2,60,1
542,27,94691,522,11,698456,0,48,0
543,45,117419,659,14,216782,2,60,1
544,24,128730,628,20,173099,1,60,1
545,56,63001,762,9,608981,2,60,0
546,26,87364,681,13,158944,4,36,1
547,51,144988,468,12,798943,2,60,0
548,39,65028,516,4,781862,1,24,0
549,59,127434,677,5,853806,5,24,0
550,47,117659,418,1,297572,0,12,0
551,30,57573,489,16,393615,3,36,0
552,46,20806,669,3,620201,2,12,0
553,39,144343,448,13,960115,1,24,0
554,59,76638,787,9,247097,3,24,0
555,23,148301,673,2,880948,3,48,1
556,33,146295,459,2,662084,4,60,0
557,48,126506,650,14,338213,3,24,1
558,40,49757,587,5,954765,5,12,0
559,48,54636,587,16,134811,1,12,0
560,28,100097,525,11,240121,1,60,0
561,59,68280,822,19,807180,2,60,1
562,21,44262,821,10,430172,2,48,1
563,23,100435,572,3,613466,2,36,0
564,33,82211,701,5,869253,5,12,0
565,48,74842,482,0,504151,3,60,0
566,45,148583,787,19,591287,3,12,1
567,53,76979,423,15,505738,4,60,0
568,58,134524,713,14,350856,5,24,1
569,26,101470,471,16,245623,2,12,1
570,52,58197,587,7,745532,0,24,0
571,41,61844,734,11,345866,4,12,0
572,36,84754,412,20,847057,0,36,0
573,41,121868,421,9,248237,3,48,0
574,31,54157,843,14,581147,4,24,1
575,57,97129,521,8,685274,4,60,0
576,56,60042,338,1,806942,1,36,0
577,55,81665,796,4,333983,3,12,1
578,39,135512,532,5,339360,3,24,1
579,40,136953,829,6,889385,5,12,1
580,38,102856,448,20,527697,4,12,1
581,34,47376,696,0,503809,3,12,0
582,35,129049,601,6,99522,4,48,1
583,51,75554,659,19,280233,5,48,1
584,21,34199,537,11,448102,5,60,0
585,23,138533,535,15,423393,1,24,1
586,36,101412,502,15,57485,4,36,0
587,43,70948,555,10,474671,3,36,0
588,31,93781,534,20,817344,3,36,1
589,32,92750,644,3,984271,4,12,0
590,30,86262,833,12,162701,4,48,1
591,52,137424,765,6,995957,4,24,1
592,36,66600,840,3,257352,2,12,1
593,28,96898,512,14,676926,3,48,0
594,58,82483,762,18,234514,5,48,0
595,32,38297,735,8,495093,3,24,0
596,44,50448,582,10,848658,2,24,0
597,48,46172,762,7,667693,4,24,0
598,28,62874,706,0,859020,1,12,0
599,48,27657,387,7,260048,4,60,0
600,56,104386,343,12,737069,4,24,0
601,46,145617,760,3,87019,2,60,1
602,28,45425,577,7,311497,3,12,0
603,48,46685,720,2,639421,4,60,0
604,48,142000,652,8,950876,3,36,0
605,57,132855,814,1,771818,0,60,1
606,56,44578,318,1,429747,5,24,0
607,47,48831,322,12,208598,3,12,0
608,37,27906,712,14,702873,1,24,1
609,29,81413,329,11,495414,5,36,0
610,53,74028,407,3,819460,1,24,0
611,40,27287,666,7,542750,4,24,0
612,33,53660,580,8,879827,5,24,0
613,48,95758,427,4,467247,3,48,0
614,49,80504,528,19,518758,5,36,0
615,33,79720,410,17,700102,4,24,0
616,55,122979,435,10,424743,2,24,0
617,26,54701,661,14,75939,1,24,1
618,38,103300,485,8,987828,4,12,0
619,25,130177,428,16,203939,2,48,1
620,45,37674,560,11,836635,5,12,0
621,22,103560,814,6,984048,5,48,0
622,30,131543,748,9,983403,4,24,0
623,50,43874,403,9,865495,3,36,0
624,25,63642,782,12,665168,5,60,0
625,53,143867,523,18,578036,3,60,1
626,21,117820,790,10,286094,3,24,1
627,38,85160,772,12,429413,3,12,1
628,52,37602,309,20,917196,0,36,0
629,31,123320,704,7,201956,2,48,1
630,41,108801,601,7,206255,2,24,1
631,46,45931,530,3,514462,5,36,0
632,45,114377,365,14,944468,5,36,0
633,42,49192,411,10,724619,3,48,0
634,47,66542,312,10,741319,0,36,0
635,33,147015,692,0,952957,3,12,0
636,53,62520,799,16,476673,0,12,1
637,54,84772,533,14,397823,3,12,1
638,55,78762,613,19,175829,1,36,1
639,21,70106,311,5,178216,1,12,0
640,41,101121,508,14,969607,4,48,0
641,26,45559,313,8,640189,3,36,0
642,48,125595,717,13,817674,5,60,0
643,37,53742,736,17,225607,2,36,1
644,25,89669,676,16,459319,4,48,1
645,51,100199,319,17,672334,5,60,0
646,25,41754,369,4,402156,1,36,0
647,58,23972,510,19,652566,3,12,0
648,23,90831,400,19,324535,4,24,0
649,43,132217,431,8,152476,3,24,0
650,57,61873,680,10,996405,1,12,0
651,57,114661,431,0,432865,4,24,0
652,30,126532,319,17,671825,1,24,0
653,30,146267,835,5,917591,0,12,1
654,39,29903,526,1,967472,1,12,0
655,37,23020,453,14,231429,3,36,0
656,41,61755,768,20,267980,2,36,1
657,34,105956,704,13,553551,1,12,1
658,29,106988,501,4,871935,5,48,0
659,21,65648,337,5,536675,2,24,0
660,33,123537,487,5,125403,0,36,1
661,24,145991,356,17,638574,4,24,0
662,21,29516,319,13,386986,4,60,0
663,60,132863,572,9,154927,2,12,1
664,52,135005,418,13,851340,4,48,0
665,54,22396,815,12,535833,1,60,1
666,48,104082,520,2,493842,2,60,0
667,51,39129,825,5,349372,3,60,1
668,28,148322,814,7,73386,1,12,1
669,59,21591,635,11,227826,1,36,0
670,46,31303,354,12,554158,1,12,0
671,54,50561,799,10,340446,3,36,1
672,23,91719,835,11,372959,0,60,1
673,32,138618,461,0,302156,5,60,0
674,21,112108,458,16,899776,4,48,0
675,25,148748,487,15,948035,2,36,1
676,50,119616,359,10,519450,0,60,0
677,50,144165,618,12,373258,2,24,1
678,37,106231,510,17,298724,4,48,1
679,43,27314,705,10,251202,3,12,1
680,35,137071,408,11,75525,1,48,1
681,57,39623,375,5,129818,1,24,0
682,41,87675,841,8,164589,3,36,1
683,34,132992,613,15,195406,0,12,1
684,22,116826,416,3,669003,0,12,0
685,31,85082,318,2,243839,2,36,0
686,59,149839,731,15,843076,3,48,1
687,58,103624,649,11,413298,0,60,1
688,54,125228,482,10,556453,3,48,0
689,58,53130,412,4,307438,4,24,0
690,54,71756,482,17,879901,1,60,0
691,38,117624,780,18,476903,1,48,1
692,50,46292,445,5,943041,1,36,0
693,35,131785,412,17,495872,3,24,0
694,47,147331,775,5,460591,3,24,1
